theta,psi,K
0.944076,-0.0022490546058357274,8399.103
0.94322324,-0.00236047823318052,8342.073
0.9423553,-0.0024774220576332254,8284.554
0.9414718,-0.0026001595631652084,8226.499
0.9405724,-0.0027289777828079734,8167.938
0.9396569,-0.0028641779699065096,8108.8813
0.938725,-0.0030060763026281555,8049.293
0.9377763,-0.0031550046233745467,7989.197
0.9368106,-0.0033113112148258263,7928.605
0.93582755,-0.0034753616144319686,7867.489
0.93482673,-0.0036475394692559835,7805.854
0.9338079,-0.0038282474331681263,7743.72
0.9327706,-0.004017908108489294,7681.0767
0.93171465,-0.00421696503428571,7617.9233
0.9306396,-0.004425883723626147,7554.266
0.9295451,-0.0046451527522273686,7490.1045
0.9284308,-0.004875284901033731,7425.426
0.92729634,-0.005116818355402937,7360.253
0.9261413,-0.005370317963702379,7294.581
0.9249654,-0.005636376558259388,7228.4185
0.92376804,-0.005915616341754574,7161.764
0.922549,-0.00620869034230046,7094.6274
0.9213079,-0.006516283940608241,7026.9946
0.9200443,-0.006839116472814097,6958.898
0.9187577,-0.00717794291271341,6890.311
0.9174477,-0.007533555637336954,6821.255
0.916114,-0.007906786279998019,6751.7456
0.91475594,-0.008298507675143979,6681.759
0.91337323,-0.008709635899560548,6611.3433
0.9119655,-0.009141132414702229,6540.4727
0.9105322,-0.009594006315159042,6469.1523
0.90907276,-0.010069316688517736,6397.407
0.90758693,-0.010568175092136261,6325.245
0.90607405,-0.01109174815262367,6252.6685
0.9045338,-0.011641260294104552,6179.67
0.90296555,-0.012217996601648335,6106.2944
0.901369,-0.012823305826559812,6032.524
0.8997433,-0.013458603540559057,5958.372
0.8980884,-0.014125375446227093,5883.8525
0.89640343,-0.01482518085145906,5808.9897
0.894688,-0.015559656316050241,5733.7725
0.89294165,-0.01633051947894281,5658.245
0.8911638,-0.01713957307508369,5582.382
0.88935393,-0.017988709151287287,5506.228
0.88751143,-0.018879913490962307,5429.7817
0.88563585,-0.01981527025805032,5353.0537
0.8837266,-0.020796966871036257,5276.077
0.8817831,-0.021827299118429278,5198.848
0.87980485,-0.02290867652767695,5121.402
0.8777913,-0.024043628000068512,5043.738
0.87574184,-0.025234807724804877,4965.8877
0.8736558,-0.02648500138606609,4887.8687
0.87153286,-0.02779713267759192,4809.69
0.86937225,-0.029174270140010644,4731.3804
0.8671734,-0.03061963433690569,4652.9478
0.8649358,-0.032136605386402034,4574.432
0.86265886,-0.03372873086588568,4495.8438
0.8603419,-0.0353997341083422,4417.1943
0.85798454,-0.03715352290971591,4338.522
0.85558593,-0.03899419866765293,4259.8486
0.8531457,-0.04092606597299959,4181.1904
0.8506632,-0.042953642676487144,4102.5796
0.84813774,-0.045081670454144344,4024.0378
0.8455689,-0.04731512589614629,3945.5889
0.842956,-0.04965923214503175,3867.26
