run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_1_neu_K_20,1,0,6,40,2,40,1,20,1.75533E-06,1.8216E-06,2.31632E-06,1065973.052,490283.8319,1364234.476,0.025841642,0.020544095,0.018408493,0.043565995,0.036729949,0.044298234
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_1_neu_K_40,1,0,6,40,2,40,1,40,1.78685E-06,3.08858E-06,1.49241E-06,116909.3271,1203011.37,532940.3435,0.023718245,0.023213846,0.014315378,0.049569957,0.063421217,0.037711942
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_2_neu_K_10,1,0,6,40,2,40,2,10,1.87873E-06,8.55306E-06,1.44102E-06,313857.984,31713.41657,1370077.723,0.011825541,0.440481331,0.012768228,0.041117098,0.333898237,0.033799593
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_2_neu_K_20,1,0,6,40,2,40,2,20,1.5199E-06,2.17332E-06,1.35768E-06,4136480.288,483866.3271,171050.426,0.010299041,0.01003473,0.00942742,0.035400124,0.029920992,0.024296007
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_2_neu_K_40,1,0,6,40,2,40,2,40,1.00526E-05,2.72696E-06,1.8671E-06,39607.34274,7371.878229,62444401.57,0.481596303,0.014805253,0.01523548,0.359143119,0.038453278,0.040798723
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_3_neu_K_10,1,0,6,40,2,40,3,10,1.72872E-06,1.7804E-06,1.43393E-06,186352.3815,24301.78837,22388.62321,0.028806326,0.02707767,0.012823484,0.049457257,0.032293304,0.027283151
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_3_neu_K_20,1,0,6,40,2,40,3,20,1.7141E-06,1.63408E-06,1.6818E-06,52984.27165,21736.59834,45642.28699,0.012816627,0.007873949,0.021141049,0.03917958,0.032270153,0.03316334
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_3_neu_K_40,1,0,6,40,2,40,3,40,1.64968E-06,1.64772E-06,1.59251E-06,284587.9168,141742.0277,975326.9555,0.009971688,0.006411975,0.02229691,0.039716792,0.030672655,0.032293312
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_1_neu_K_10,1,0,6,40,3,10,1,10,2.38315E-06,0.000323687,7.71262E-06,31354.06946,75631.22051,53517.24231,0.013046807,28.45341782,0.56580234,0.031434272,26.4996369,0.445473696
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_1_neu_K_20,1,0,6,40,3,10,1,20,1.50468E-06,0.000294266,1.80371E-06,71040527.93,75631.22844,415975.6187,0.00835519,35.37515438,0.008478865,0.032244613,32.24501479,0.034843693
