theta,psi,K
0.9166329,-0.015559656316050241,39850.75
0.9153645,-0.01633051947894281,39173.137
0.91407394,-0.01713957307508369,38496.766
0.9127607,-0.017988709151287287,37821.723
0.9114244,-0.018879913490962307,37148.168
0.9100648,-0.01981527025805032,36476.246
0.9086814,-0.020796966871036257,35806.19
0.9072739,-0.021827299118429278,35138.023
0.90584195,-0.02290867652767695,34472.133
0.90438503,-0.024043628000068512,33808.445
0.9029029,-0.025234807724804877,33147.35
0.9013951,-0.02648500138606609,32488.898
0.89986116,-0.02779713267759192,31833.352
0.89830077,-0.029174270140010644,31180.834
0.8967136,-0.03061963433690569,30531.47
0.89509916,-0.032136605386402034,29885.596
0.89345706,-0.03372873086588568,29243.229
0.89178693,-0.0353997341083422,28604.686
0.89008844,-0.03715352290971591,27970.078
0.888361,-0.03899419866765293,27339.59
0.8866042,-0.04092606597299959,26713.453
0.8848177,-0.042953642676487144,26091.8
0.8830013,-0.045081670454144344,25474.87
0.8811543,-0.04731512589614629,24862.826
0.8792764,-0.04965923214503175,24255.84
0.87736726,-0.052119471110506084,23654.172
0.8754263,-0.05470159628939509,23057.885
0.87345326,-0.05741164622073057,22467.283
0.87144774,-0.06025595860743347,21882.459
0.8694092,-0.0632411851376195,21303.59
0.86733735,-0.06637430704018832,20730.941
0.86523175,-0.06966265141107417,20164.604
0.86309206,-0.07311390834833888,19604.818
0.8609178,-0.07673614893617887,19051.686
0.8587087,-0.08053784411990347,18505.402
0.85646415,-0.08452788451602562,17966.182
0.85418415,-0.08871560120379254,17434.11
0.85186785,-0.09311078754677929,16909.373
0.8495152,-0.09772372209557711,16392.174
0.84712577,-0.1025651926251366,15882.568
0.84469914,-0.10764652136297909,15380.75
0.84223497,-0.11297959146727514,14886.877
0.8397329,-0.11857687481671111,14401.045
0.83719265,-0.12445146117713335,13923.392
0.83461386,-0.1306170888131787,13454.048
0.8319962,-0.13708817661647962,12993.1
0.8293394,-0.1438798578255785,12540.707
0.8266431,-0.15100801541640843,12096.934
0.823907,-0.1584893192461046,11661.878
0.8211309,-0.16634126503700983,11235.64
0.81831443,-0.17458221529204287,10818.273
0.81545734,-0.18323144223711324,10409.886
0.8125594,-0.1923091728910075,10010.507
0.8096205,-0.2018366363681473,9620.209
0.80664027,-0.2118361135248409,9239.048
0.80361855,-0.22233098906513052,8867.05
0.8005551,-0.23334580622808995,8504.237
0.7974498,-0.24490632418446365,8150.64
0.7943026,-0.2570395782768749,7806.2637
0.79111314,-0.2697739432444799,7471.1353
0.78788143,-0.2831391995799251,7145.2065
0.78460735,-0.2971666031737892,6828.5063
0.7812909,-0.3118889584093795,6520.9717
0.7779318,-0.3273406948788232,6222.5864
0.77453023,-0.34355794789985883,5933.3086
0.77108604,-0.3605786430216258,5653.0835
0.7675992,-0.37844258471707576,5381.847
0.7640699,-0.3971915494694218,5119.536
0.760498,-0.4168693834703159,4866.051
0.7568836,-0.4375221051582315,4621.324
0.7532269,-0.4591980128368469,4385.2485
0.74952793,-0.4819477976251045,4157.722
0.74578685,-0.50582466200309,3938.6377
0.7420038,-0.5308844442309629,3727.8647
0.7381789,-0.5571857489319031,3525.2764
0.73431253,-0.5847900841444525,3330.7424
0.7304048,-0.6137620051647644,3144.1143
0.72645605,-0.6441692655151459,2965.2444
0.72246647,-0.6760829753919487,2793.9834
0.7184366,-0.7095777679633539,2630.1619
0.71436656,-0.7447319739059522,2473.6165
0.7102568,-0.781627804588291,2324.1775
0.7061078,-0.8203515443297774,2181.6707
0.7019199,-0.8609937521845576,2045.9102
0.69769365,-0.9036494737222561,1916.7179
0.69342947,-0.9484184633008493,1793.9037
0.6891279,-0.9954054173514766,1677.2816
0.68478954,-1.044720219220747,1566.661
0.680415,-1.0964781961431291,1461.8457
