 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  137     13.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  138     13.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  139     13.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  140     13.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  141     14.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  142     14.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  143     14.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  144     14.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  145     14.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  146     14.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  147     14.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  148     14.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  149     14.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  150     14.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  151     15.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  152     15.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  153     15.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  154     15.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  155     15.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  156     15.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  157     15.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  158     15.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  159     15.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  160     15.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  161     16.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  162     16.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  163     16.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  164     16.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  165     16.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  166     16.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  167     16.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  168     16.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  169     16.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  170     16.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  171     17.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  172     17.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  173     17.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  174     17.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  175     17.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  176     17.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  177     17.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
